"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"03/01/2020";"0400";"20,3";"20,5";"20,3";"92,0";"92,0";"92,0";"19,0";"19,2";"19,0";"915,0";"915,4";"915,0";"0,4";"7,0";"2,0";"";"0,0"
"03/01/2020";"0500";"20,4";"20,4";"20,3";"92,0";"92,0";"92,0";"19,0";"19,0";"18,9";"914,8";"915,0";"914,8";"0,0";"309,0";"1,6";"";"0,0"
"03/01/2020";"0600";"20,3";"20,4";"20,2";"92,0";"92,0";"92,0";"18,9";"19,0";"18,9";"914,8";"914,9";"914,7";"0,2";"350,0";"1,0";"";"0,0"
"03/01/2020";"0700";"20,2";"20,4";"20,2";"92,0";"92,0";"92,0";"18,9";"19,1";"18,8";"914,8";"914,8";"914,6";"0,3";"360,0";"2,3";"";"1,0"
"03/01/2020";"0800";"20,3";"20,3";"20,1";"92,0";"92,0";"92,0";"18,9";"19,0";"18,8";"915,0";"915,0";"914,7";"0,8";"50,0";"1,4";"";"0,0"
"03/01/2020";"0900";"20,4";"20,4";"20,2";"92,0";"92,0";"92,0";"19,0";"19,1";"18,9";"915,5";"915,5";"915,0";"0,4";"25,0";"1,5";"17,10";"0,0"
"03/01/2020";"1000";"20,5";"20,8";"20,4";"92,0";"92,0";"92,0";"19,2";"19,4";"19,1";"915,7";"915,7";"915,5";"0,6";"318,0";"1,5";"105,80";"4,6"
"03/01/2020";"1100";"22,4";"22,4";"20,5";"92,0";"92,0";"92,0";"21,0";"21,0";"19,2";"915,7";"915,8";"915,7";"0,6";"15,0";"2,3";"473,10";"0,2"
"03/01/2020";"1200";"22,7";"23,1";"21,8";"85,0";"92,0";"84,0";"20,1";"21,2";"19,9";"916,0";"916,0";"915,7";"1,3";"16,0";"3,3";"984,30";"0,0"
"03/01/2020";"1300";"24,2";"25,0";"22,3";"79,0";"86,0";"75,0";"20,4";"21,2";"19,7";"916,0";"916,1";"916,0";"1,8";"326,0";"4,4";"1503,60";"0,2"
"03/01/2020";"1400";"25,4";"26,3";"22,9";"70,0";"85,0";"66,0";"19,6";"22,1";"19,1";"915,6";"916,0";"915,5";"1,9";"331,0";"5,7";"2568,90";"0,0"
"03/01/2020";"1500";"25,5";"26,0";"20,9";"74,0";"90,0";"70,0";"20,6";"22,2";"17,8";"915,1";"915,7";"915,1";"2,0";"1,0";"8,0";"2381,30";"2,6"
"03/01/2020";"1600";"23,5";"25,5";"22,7";"80,0";"85,0";"71,0";"19,8";"21,0";"19,3";"914,9";"915,2";"914,9";"0,7";"348,0";"5,4";"1171,60";"0,8"
"03/01/2020";"1700";"21,4";"24,3";"20,7";"89,0";"90,0";"75,0";"19,6";"20,3";"18,3";"914,3";"914,9";"914,3";"0,8";"223,0";"8,1";"723,10";"2,0"
"03/01/2020";"1800";"23,2";"23,3";"21,4";"81,0";"90,0";"80,0";"19,6";"20,5";"19,6";"913,7";"914,3";"913,7";"0,3";"244,0";"1,8";"963,20";"0,8"
"03/01/2020";"1900";"23,8";"24,6";"23,1";"80,0";"85,0";"76,0";"20,2";"21,3";"19,4";"912,7";"913,7";"912,7";"0,2";"348,0";"2,0";"1227,40";"0,2"
"03/01/2020";"2000";"25,2";"25,5";"23,8";"69,0";"81,0";"68,0";"19,0";"20,8";"19,0";"912,9";"913,0";"912,5";"0,9";"315,0";"2,1";"1561,70";"0,0"
"03/01/2020";"2100";"23,2";"25,3";"23,1";"83,0";"84,0";"67,0";"20,2";"20,2";"18,4";"913,2";"913,4";"912,9";"0,8";"45,0";"2,6";"494,20";"0,0"
"03/01/2020";"2200";"21,8";"23,2";"21,8";"88,0";"88,0";"83,0";"19,7";"20,3";"19,7";"914,1";"914,1";"913,2";"1,4";"54,0";"4,1";"43,40";"0,0"
"03/01/2020";"2300";"21,6";"21,8";"21,6";"88,0";"89,0";"87,0";"19,5";"19,9";"19,5";"914,8";"914,8";"914,1";"0,6";"42,0";"3,3";"";"0,4"
"04/01/2020";"0000";"20,5";"21,6";"20,5";"91,0";"91,0";"88,0";"19,0";"19,7";"19,0";"915,4";"915,4";"914,8";"1,9";"359,0";"3,8";"0,60";"12,2"
"04/01/2020";"0100";"19,4";"20,5";"19,3";"92,0";"92,0";"91,0";"18,0";"18,9";"17,9";"916,3";"916,4";"915,4";"0,8";"49,0";"7,6";"";"21,8"
"04/01/2020";"0200";"19,4";"19,5";"19,3";"92,0";"92,0";"92,0";"18,1";"18,2";"18,0";"915,9";"916,3";"915,9";"0,0";"278,0";"3,8";"0,10";"3,0"
"04/01/2020";"0300";"19,6";"19,6";"19,4";"92,0";"92,0";"92,0";"18,3";"18,3";"18,0";"915,2";"915,9";"915,2";"0,1";"52,0";"0,8";"";"0,0"
"04/01/2020";"0400";"19,7";"19,7";"19,4";"92,0";"92,0";"92,0";"18,4";"18,4";"18,1";"914,8";"915,2";"914,8";"0,7";"32,0";"1,5";"";"0,0"
"04/01/2020";"0500";"19,5";"19,7";"19,5";"92,0";"92,0";"92,0";"18,2";"18,4";"18,2";"914,0";"914,8";"914,0";"0,8";"50,0";"2,2";"";"0,0"
"04/01/2020";"0600";"19,6";"19,6";"19,5";"92,0";"92,0";"92,0";"18,3";"18,3";"18,2";"914,0";"914,1";"913,9";"0,6";"46,0";"2,1";"";"0,0"
"04/01/2020";"0700";"19,6";"19,6";"19,5";"92,0";"92,0";"92,0";"18,3";"18,3";"18,2";"914,0";"914,1";"913,8";"0,6";"62,0";"2,7";"";"0,2"
"04/01/2020";"0800";"19,5";"19,6";"19,5";"92,0";"92,0";"92,0";"18,2";"18,3";"18,2";"914,3";"914,3";"914,0";"0,9";"30,0";"2,3";"";"0,0"
"04/01/2020";"0900";"19,6";"19,7";"19,5";"92,0";"92,0";"92,0";"18,4";"18,4";"18,2";"914,6";"914,6";"914,3";"0,5";"32,0";"2,3";"7,40";"0,0"
"04/01/2020";"1000";"20,0";"20,0";"19,6";"92,0";"92,0";"92,0";"18,7";"18,7";"18,3";"914,9";"915,0";"914,6";"1,1";"3,0";"3,2";"123,60";"0,0"
"04/01/2020";"1100";"20,1";"20,2";"19,8";"92,0";"92,0";"92,0";"18,8";"18,8";"18,5";"915,4";"915,4";"914,9";"1,3";"357,0";"3,7";"228,70";"0,2"
"04/01/2020";"1200";"22,6";"22,7";"20,1";"84,0";"92,0";"84,0";"19,8";"20,6";"18,8";"915,3";"915,5";"915,3";"2,6";"358,0";"6,8";"1402,90";"0,0"
"04/01/2020";"1300";"22,5";"22,9";"21,9";"82,0";"85,0";"79,0";"19,2";"20,2";"18,5";"915,5";"915,5";"915,2";"1,4";"33,0";"6,8";"1208,30";"0,0"
"04/01/2020";"1400";"22,9";"23,3";"21,8";"76,0";"83,0";"75,0";"18,6";"19,6";"18,4";"915,3";"915,5";"915,3";"2,7";"342,0";"6,2";"878,60";"0,0"
"04/01/2020";"1500";"24,0";"25,5";"22,8";"74,0";"78,0";"68,0";"19,0";"20,1";"18,4";"915,1";"915,4";"915,1";"2,0";"357,0";"7,6";"1943,20";"0,0"
"04/01/2020";"1600";"24,9";"26,3";"23,5";"72,0";"77,0";"66,0";"19,4";"20,7";"18,4";"914,3";"915,1";"914,3";"2,9";"336,0";"7,1";"1791,70";"0,2"
"04/01/2020";"1700";"23,6";"25,6";"23,5";"78,0";"79,0";"70,0";"19,5";"20,4";"18,8";"913,4";"914,3";"913,4";"2,6";"331,0";"7,1";"1250,90";"0,0"
"04/01/2020";"1800";"21,8";"25,1";"21,7";"87,0";"87,0";"74,0";"19,6";"21,5";"19,2";"912,7";"913,4";"912,7";"3,3";"339,0";"9,3";"1394,40";"2,8"
"04/01/2020";"1900";"23,8";"24,4";"21,8";"83,0";"90,0";"80,0";"20,8";"22,4";"20,0";"912,0";"912,7";"912,0";"1,5";"354,0";"9,3";"2252,80";"0,0"
"04/01/2020";"2000";"24,1";"24,6";"23,1";"80,0";"85,0";"79,0";"20,5";"21,1";"20,2";"911,7";"912,1";"911,7";"1,4";"317,0";"4,6";"811,70";"0,0"
"04/01/2020";"2100";"23,5";"24,5";"23,5";"82,0";"84,0";"79,0";"20,2";"20,8";"20,2";"912,6";"912,6";"911,7";"0,6";"316,0";"2,9";"382,00";"0,0"
"04/01/2020";"2200";"22,3";"23,5";"22,0";"85,0";"86,0";"81,0";"19,6";"20,2";"19,4";"912,7";"912,7";"912,4";"0,6";"44,0";"1,7";"28,10";"0,0"
"04/01/2020";"2300";"21,8";"22,9";"21,7";"87,0";"87,0";"83,0";"19,5";"19,9";"19,1";"913,9";"913,9";"912,7";"0,1";"33,0";"1,4";"";"0,0"
"05/01/2020";"0000";"21,4";"22,4";"21,4";"88,0";"89,0";"86,0";"19,5";"20,1";"19,4";"914,3";"914,4";"913,9";"0,9";"44,0";"1,6";"";"0,0"
"05/01/2020";"0100";"21,5";"22,1";"21,2";"90,0";"90,0";"88,0";"19,8";"20,3";"19,4";"915,0";"915,0";"914,3";"1,1";"10,0";"3,1";"";"0,0"
"05/01/2020";"0200";"19,3";"21,7";"19,3";"89,0";"90,0";"84,0";"17,4";"19,9";"17,2";"914,6";"915,1";"914,6";"1,4";"295,0";"10,3";"";"0,6"
"05/01/2020";"0300";"19,4";"19,5";"18,9";"91,0";"91,0";"89,0";"17,9";"18,0";"17,2";"914,0";"914,6";"914,0";"0,1";"233,0";"3,4";"";"0,0"
"05/01/2020";"0400";"20,0";"20,0";"19,4";"91,0";"91,0";"91,0";"18,5";"18,5";"17,9";"913,7";"914,0";"913,7";"0,2";"120,0";"1,3";"";"0,6"
"05/01/2020";"0500";"19,8";"20,4";"19,7";"92,0";"92,0";"91,0";"18,4";"19,0";"18,3";"912,8";"913,7";"912,8";"2,0";"234,0";"8,3";"";"19,6"
"05/01/2020";"0600";"19,5";"19,8";"19,1";"92,0";"92,0";"91,0";"18,1";"18,3";"17,7";"912,5";"912,8";"912,5";"0,5";"14,0";"5,3";"";"0,0"
"05/01/2020";"0700";"20,3";"20,3";"19,5";"92,0";"92,0";"92,0";"18,9";"18,9";"18,1";"912,7";"912,7";"912,3";"1,4";"352,0";"4,5";"";"1,8"
"05/01/2020";"0800";"20,3";"20,5";"20,3";"92,0";"92,0";"92,0";"18,9";"19,1";"18,9";"913,4";"913,4";"912,7";"2,6";"354,0";"5,8";"3,80";"1,0"
"05/01/2020";"0900";"20,1";"20,3";"20,0";"92,0";"92,0";"92,0";"18,7";"18,9";"18,7";"914,4";"914,4";"913,4";"1,5";"348,0";"5,8";"13,50";"0,0"
"05/01/2020";"1000";"20,1";"20,2";"20,0";"92,0";"92,0";"92,0";"18,8";"18,9";"18,7";"915,1";"915,1";"914,4";"1,5";"355,0";"3,7";"111,30";"0,0"
"05/01/2020";"1100";"20,5";"21,0";"20,1";"91,0";"92,0";"91,0";"19,0";"19,5";"18,8";"915,6";"915,6";"915,1";"1,9";"23,0";"4,5";"374,90";"0,0"
